B.E Chemical,B.E Civil,B.E Computer Science,B.E Electrical & Electronic,B.E Electronics & Communication,B.E Electronics & Instrumentation,B.E Mechanical,B.Pharm,M.Sc. Biological Sciences,M.Sc. Chemistry,M. Sc. Economics,M.Sc. Mathematics,M. Sc. Physics,,
BIOLOGY LABORATORY,BIOLOGY LABORATORY,BIOLOGY LABORATORY,BIOLOGY LABORATORY,BIOLOGY LABORATORY,BIOLOGY LABORATORY,ENGINEERING GRAPHICS,BIOLOGY LABORATORY,BIOLOGY LABORATORY,BIOLOGY LABORATORY,BIOLOGY LABORATORY,BIOLOGY LABORATORY,BIOLOGY LABORATORY,,
MATHEMATICS II,MATHEMATICS II,MATHEMATICS II,MATHEMATICS II,MATHEMATICS II,MATHEMATICS II,THERMODYNAMICS,MATHEMATICS II,MATHEMATICS II,MATHEMATICS II,MATHEMATICS II,MATHEMATICS II,MATHEMATICS II,,
GENERAL BIOLOGY,GENERAL BIOLOGY,GENERAL BIOLOGY,GENERAL BIOLOGY,GENERAL BIOLOGY,GENERAL BIOLOGY,BIOLOGY LABORATORY,GENERAL BIOLOGY,GENERAL BIOLOGY,GENERAL BIOLOGY,GENERAL BIOLOGY,GENERAL BIOLOGY,GENERAL BIOLOGY,,
WORKSHOP PRACTICE,WORKSHOP PRACTICE,WORKSHOP PRACTICE,WORKSHOP PRACTICE,WORKSHOP PRACTICE,WORKSHOP PRACTICE,TECHNICAL REPORT WRITING,WORKSHOP PRACTICE,WORKSHOP PRACTICE,WORKSHOP PRACTICE,WORKSHOP PRACTICE,WORKSHOP PRACTICE,WORKSHOP PRACTICE,,
CHEMISTRY LABORATORY,CHEMISTRY LABORATORY,CHEMISTRY LABORATORY,CHEMISTRY LABORATORY,CHEMISTRY LABORATORY,CHEMISTRY LABORATORY,GENERAL BIOLOGY,CHEMISTRY LABORATORY,CHEMISTRY LABORATORY,CHEMISTRY LABORATORY,CHEMISTRY LABORATORY,CHEMISTRY LABORATORY,CHEMISTRY LABORATORY,,
COMPUTER PROGRAMMING,COMPUTER PROGRAMMING,COMPUTER PROGRAMMING,COMPUTER PROGRAMMING,COMPUTER PROGRAMMING,COMPUTER PROGRAMMING,COMPUTER PROGRAMMING,COMPUTER PROGRAMMING,COMPUTER PROGRAMMING,COMPUTER PROGRAMMING,COMPUTER PROGRAMMING,COMPUTER PROGRAMMING,COMPUTER PROGRAMMING,,
GENERAL CHEMISTRY,GENERAL CHEMISTRY,GENERAL CHEMISTRY,GENERAL CHEMISTRY,GENERAL CHEMISTRY,GENERAL CHEMISTRY,CHEMISTRY LABORATORY,GENERAL CHEMISTRY,GENERAL CHEMISTRY,GENERAL CHEMISTRY,GENERAL CHEMISTRY,GENERAL CHEMISTRY,GENERAL CHEMISTRY,,
ELECTRICAL SCIENCES,ELECTRICAL SCIENCES,ELECTRICAL SCIENCES,ELECTRICAL SCIENCES,ELECTRICAL SCIENCES,ELECTRICAL SCIENCES,ELECTRICAL SCIENCES,ELECTRICAL SCIENCES,ELECTRICAL SCIENCES,ELECTRICAL SCIENCES,ELECTRICAL SCIENCES,ELECTRICAL SCIENCES,ELECTRICAL SCIENCES,,
MATHEMATICS I,MATHEMATICS I,MATHEMATICS I,MATHEMATICS I,MATHEMATICS I,MATHEMATICS I,GENERAL CHEMISTRY,MATHEMATICS I,MATHEMATICS I,MATHEMATICS I,MATHEMATICS I,MATHEMATICS I,MATHEMATICS I,,
TECHNICAL REPORT WRITING,TECHNICAL REPORT WRITING,TECHNICAL REPORT WRITING,TECHNICAL REPORT WRITING,TECHNICAL REPORT WRITING,TECHNICAL REPORT WRITING,MATHEMATICS II,TECHNICAL REPORT WRITING,TECHNICAL REPORT WRITING,TECHNICAL REPORT WRITING,TECHNICAL REPORT WRITING,TECHNICAL REPORT WRITING,TECHNICAL REPORT WRITING,,
