Row Labels,Average of course_grade
0,8.0625
1,6.16
2,7.075471698
3,7.914893617
4,7.06122449
5,6.571428571
6,8.163265306
7,7.604166667
8,8.604166667
9,8.1
10,5.808823529
11,8.806451613
12,7.86
13,7
14,7.787234043
15,6.5
16,5.72
17,5.519230769
18,8.065217391
19,8.653061224
20,8.661290323
21,7.254901961
22,7.265625
23,8.244897959
24,7.14
25,8.553191489
26,6.745098039
27,7.693877551
28,7.2
29,8.769230769
30,7.36
31,8.595744681
32,8.078431373
33,8.076923077
34,8.952380952
35,7.452830189
36,7.796875
37,8.14893617
38,8.081632653
39,8.303571429
40,8.4
41,7.265306122
42,7.29787234
43,8.117647059
44,7.595744681
45,7.307692308
46,7.730769231
47,7.882352941
48,7.423076923
49,7.224489796
50,6.266666667
51,7.06
52,5.428571429
53,6.7
54,5.82
55,7.333333333
56,7
57,7.96
58,7.87755102
59,7.705882353
60,7.788461538
61,6.936170213
62,7.470588235
63,5.620689655
64,7
65,7.188405797
66,7
67,8.645833333
68,7.352941176
69,7.3
70,8.06122449
71,7.745454545
72,7.765957447
73,7.882352941
74,7.911111111
75,7.72
76,6.962962963
77,7
78,7.576923077
79,7.721311475
80,8.206349206
81,7.823529412
82,8.102040816
83,8.365384615
84,7.307692308
85,8.1
86,7.391304348
87,7.857142857
88,7.7
89,6.68627451
90,9.446808511
91,7.224489796
92,7.836734694
93,6.755102041
94,7.382978723
95,7.808510638
96,9.086956522
97,7.75
98,7.893617021
99,7.893617021
100,8.170212766
101,7.804347826
102,7.734693878
103,6.816326531
104,7.333333333
105,7.666666667
106,9.086956522
107,7.604166667
108,9.142857143
109,6.2
110,8.823529412
111,7.617021277
112,6.787234043
113,6.673469388
114,7.361702128
115,8.446808511
116,7.857142857
117,6.66
118,7.803921569
119,6.170212766
120,7.06
121,5.836363636
122,7.530612245
123,7.38
124,7.914893617
125,8.291666667
126,7.166666667
127,8.051724138
128,8.106382979
129,7.561403509
130,8.5
131,7.705882353
132,5.921568627
133,7.166666667
134,5.532258065
135,7.615384615
136,7.634615385
137,7.806451613
138,7.872340426
139,7.285714286
140,7.93877551
141,8.408163265
142,8.693877551
143,9.104166667
144,6.183673469
145,7.5
146,6.4375
147,5.5
148,5.829787234
149,5.591836735
150,7.96
151,8.319148936
152,8.510204082
153,9.108695652
154,9.108695652
155,8.043478261
156,7.291666667
157,7.958333333
158,8.111111111
159,8.08
160,8.5
161,9.130434783
162,8.153846154
163,7.914893617
164,6.88
165,7.244897959
166,8.08
167,8.695652174
168,6.745098039
169,6.723404255
170,8.166666667
171,7.36
172,6.145833333
173,7.3125
174,8.078431373
175,6.94
176,7.081632653
177,6.75
178,8.387755102
179,7.652173913
180,7.5
181,8.468085106
182,7.82
183,8.70212766
184,8.510204082
185,7.746268657
186,8
187,8.29787234
188,8.872340426
189,8.25
190,8.260869565
191,9.020408163
192,8.680851064
193,7.258064516
194,8.391304348
195,8.346938776
196,7.170212766
197,7.595744681
198,8.760869565
199,7.215686275
200,6.87755102
201,7.5
202,7.14
203,7.361702128
204,9.152173913
205,8
206,8.043478261
207,8
208,7.244897959
209,7
210,7.434782609
211,7.333333333
212,8.959183673
213,6.80952381
214,8.729166667
215,9.106382979
216,6.808510638
217,7.24
218,7.653846154
219,9.083333333
220,7.62
221,8.14893617
222,6.583333333
223,8.239130435
224,7.936170213
225,7.829787234
226,9.239130435
227,7.586956522
228,7.404255319
229,7.125
230,7.854166667
231,8.319148936
232,8.617021277
233,8.583333333
234,8.244897959
235,7.72
236,7.041666667
237,8.428571429
238,8.595744681
239,7.956521739
240,7.86
241,7.115384615
242,7.913043478
243,7.795918367
244,7
245,8.102040816
246,7.041666667
247,8.467741935
248,8
249,7.680851064
250,8.326530612
251,7.78
252,7.359375
253,7.671875
254,8.25
255,7.980769231
256,7.936170213
257,7.145833333
258,5.703703704
259,8.510638298
260,8.212765957
261,7.520833333
262,7.708333333
263,7.774193548
264,7.26
265,8.857142857
266,7.891304348
267,9
268,8.021276596
269,9.52
270,8.081632653
271,7.020408163
272,7.833333333
273,7.46
274,5.680851064
275,8.583333333
276,7.2
277,6.48
278,9.1875
279,7.8125
280,7.14893617
