id,student_id,course_id,course_grade
0,0,CHEMISTRY LABORATORY,10
1,0,GENERAL CHEMISTRY,9
2,0,ELECTRICAL SCIENCES,7
3,0,MATHEMATICS I,8
4,0,WORKSHOP PRACTICE,9
5,0,PHYSICS LABORATORY,10
6,0,MECH OSCILLATIONS & WAVE,7
7,0,ENVIRONMENTAL STUDIES,7
8,0,PHONETICS & SPOKEN ENGL,7
9,0,MATHEMATICS III,8
10,0,MECHANICS OF SOLIDS,8
11,0,FLUID MECHANICS,9
12,0,MATERIALS SCIENCE & ENGG,8
13,0,APPLIED THERMODYNAMICS,8
14,0,MECHANICAL ENGG LAB,9
15,0,CONTROL SYSTEMS,10
16,0,LOCAL GOVERNANCE AND PARTICIPA,8
17,0,ADV MECHANICS OF SOLIDS,9
18,0,COMPUTER AIDED DESIGN,7
19,0,MECHANICAL VIBRATIONS,8
20,0,SUPPLY CHAIN MANAGEMENT,8
21,0,PRACTICE SCHOOL II,10
22,0,BIOLOGY LABORATORY,10
23,0,GENERAL BIOLOGY,8
24,0,ENGINEERING GRAPHICS,9
25,0,THERMODYNAMICS,6
26,0,TECHNICAL REPORT WRITING,7
27,0,COMPUTER PROGRAMMING,8
28,0,MATHEMATICS II,8
29,0,PROBABILITY & STATISTICS,6
30,0,OBJECT ORIENTED PROG,9
31,0,PRINCIPLES OF ECONOMICS,9
32,0,LINGUISTICS,9
33,0,MACHINE DESIGN & DRAWING,6
34,0,IC ENGINES,7
35,0,PRODUCTION TECHNIQUES I,7
36,0,KIN & DYN OF MACHINES,8
37,0,CRYPTOGRAPHY,7
38,0,MACHINE LEARNING,8
39,0,DESIGN PROJECT,10
40,0,HEAT TRANSFER,7
41,0,PRODUCTION TECHNIQUES II,7
42,0,PRIMEMOVERS & FLUID MACH,7
43,0,ENGINEERING OPTIMIZATION,7
44,0,SUSTAINABLE MANUFACTURING,7
45,0,OPERATING SYSTEMS,8
46,0,AUTOMOTIVE TECHNOLOGY,8
47,0,PRACTICE SCHOOL I,10
48,1,BIOLOGY LABORATORY,9
49,1,GENERAL BIOLOGY,9
50,1,ENGINEERING GRAPHICS,9
51,1,THERMODYNAMICS,8
52,1,TECHNICAL REPORT WRITING,7
53,1,COMPUTER PROGRAMMING,6
54,1,MATHEMATICS I,4
55,1,ENVIRONMENTAL STUDIES,7
56,1,CHEMICAL PROCESS CALCULA,4
57,1,FLUID MECHANICS,2
58,1,CHEM ENGG THERMODYNAMICS,2
59,1,ENGINEERING CHEMISTRY,4
60,1,PHONETICS & SPOKEN ENGL,7
61,1,MATHEMATICS III,5
62,1,INTRO TO NANO SCIENCE,6
63,1,RENEWABLE ENERGY,6
64,1,KINETICS & REACTOR DESIG,4
65,1,SEPARATION PROCESSES II,2
66,1,PROCESS DES PRINCIPLES I,4
67,1,PROCESS DYN & CONTROL,4
68,1,BUSS ANAL & VALUATION,5
69,1,PHILOSOPHY OF NAGARJUNA,7
70,1,PRACTICE SCHOOL II,10
71,1,CHEMISTRY LABORATORY,10
72,1,GENERAL CHEMISTRY,7
73,1,ELECTRICAL SCIENCES,5
74,1,MATHEMATICS II,5
75,1,PROBABILITY & STATISTICS,6
76,1,WORKSHOP PRACTICE,7
77,1,PHYSICS LABORATORY,8
78,1,MECH OSCILLATIONS & WAVE,4
79,1,HEAT TRANSFER,8
80,1,NUM METHOD FOR CHEM ENGG,10
81,1,MATERIAL SCIENCE & ENGG,5
82,1,SEPARATION PROCESSES I,7
83,1,PRINCIPLES OF ECONOMICS,7
84,1,GAME THEORY AND ITS APPLICATIO,7
85,1,SEPARATION PROCESSES I,7
86,1,CHEMICAL ENGG LAB I,7
87,1,CHEMICAL ENGG LAB II,7
88,1,PROCESS DES PRINCIPLE II,2
89,1,INTRODUCTORY PSYCHOLOGY,7
90,1,ASIAN CINEMAS AND CULTURES,7
91,1,ESSENTIALS OF STRATE MGT,5
92,1,MODEL & SIMU IN CHE ENGG,4
93,1,CHEMICAL PROCESS TECH,5
94,1,CORROSION ENGINEERING,6
95,1,COLLOIDS AND INTERFACE ENGINEE,6
96,1,ADV COMMUNICATIVE ENG,8
97,1,PRACTICE SCHOOL I,10
98,2,CHEMISTRY LABORATORY,10
99,2,GENERAL CHEMISTRY,5
100,2,ELECTRICAL SCIENCES,6
101,2,MATHEMATICS I,4
102,2,WORKSHOP PRACTICE,8
103,2,PHYSICS LABORATORY,10
104,2,MECH OSCILLATIONS & WAVE,5
105,2,ENVIRONMENTAL STUDIES,7
106,2,INTRODUCTION TO AMERICAN LITER,6
107,2,MATHEMATICS III,4
108,2,MECHANICS OF SOLIDS,5
109,2,FLUID MECHANICS,6
110,2,MATERIALS SCIENCE & ENGG,5
111,2,APPLIED THERMODYNAMICS,7
112,2,MECHANICAL ENGG LAB,8
113,2,FINANCIAL MANAGEMENT,7
114,2,ADV MECHANICS OF SOLIDS,7
115,2,COMPUTER AIDED DESIGN,9
116,2,MECHANICAL VIBRATIONS,9
117,2,ROCKET & SPACECRAFT PROP,7
118,2,ADDITIVE MANUFACTURING,8
119,2,SUPPLY CHAIN MANAGEMENT,10
120,2,PRACTICE SCHOOL II,10
121,2,BIOLOGY LABORATORY,9
122,2,GENERAL BIOLOGY,7
123,2,ENGINEERING GRAPHICS,9
124,2,THERMODYNAMICS,5
125,2,TECHNICAL REPORT WRITING,7
126,2,COMPUTER PROGRAMMING,4
127,2,MATHEMATICS II,4
128,2,PROBABILITY & STATISTICS,6
129,2,GAME THEORY AND ITS APPLICATIO,7
130,2,PRINCIPLES OF ECONOMICS,7
131,2,FUNDA OF FIN AND ACCOUNT,6
132,2,HUMAN RESOURCE DEVELOP,7
133,2,MACHINE DESIGN & DRAWING,6
134,2,IC ENGINES,6
135,2,PRODUCTION TECHNIQUES I,7
136,2,KIN & DYN OF MACHINES,6
137,2,ARTIFICIAL INTELLIGENCE FOR RO,8
138,2,ROBOTICS,8
139,2,SECUR ANAL & PORTFOL MGT,8
140,2,HEAT TRANSFER,9
141,2,PRODUCTION TECHNIQUES II,7
142,2,PRIMEMOVERS & FLUID MACH,10
143,2,ENGINEERING OPTIMIZATION,8
144,2,INTRODUCTION TO MEMS,6
145,2,CONTROL SYSTEMS,7
146,2,PROJECT APPRAISAL,7
147,2,DERIVATIVES &  RISK MGMT,7
148,2,ADV COMMUNICATIVE ENG,7
149,2,MECHATRONICS & AUTOMAT,7
150,2,PRACTICE SCHOOL I,10
151,3,BIOLOGY LABORATORY,9
152,3,GENERAL BIOLOGY,7
153,3,ENGINEERING GRAPHICS,8
154,3,THERMODYNAMICS,6
155,3,TECHNICAL REPORT WRITING,8
156,3,COMPUTER PROGRAMMING,5
157,3,MATHEMATICS I,5
158,3,ENVIRONMENTAL STUDIES,7
159,3,CHEMICAL PROCESS CALCULA,8
160,3,FLUID MECHANICS,9
161,3,CHEM ENGG THERMODYNAMICS,9
162,3,ENGINEERING CHEMISTRY,8
163,3,SRIMAD BHAGAVAD GITA,8
164,3,MATHEMATICS III,9
165,3,KINETICS & REACTOR DESIG,9
166,3,SEPARATION PROCESSES II,8
167,3,PROCESS DES PRINCIPLES I,9
168,3,PROCESS DYN & CONTROL,8
169,3,ENVIR POLLUTION CONTROL,8
170,3,TRANSPORT PHENOMENA,8
171,3,DESIGN PROJECT,10
172,3,THESIS,10
173,3,CHEMISTRY LABORATORY,9
174,3,GENERAL CHEMISTRY,7
175,3,ELECTRICAL SCIENCES,6
176,3,MATHEMATICS II,5
177,3,PROBABILITY & STATISTICS,5
178,3,WORKSHOP PRACTICE,8
179,3,PHYSICS LABORATORY,7
180,3,MECH OSCILLATIONS & WAVE,5
181,3,INTRODUCTION TO MEMS,8
182,3,HEAT TRANSFER,8
183,3,NUM METHOD FOR CHEM ENGG,10
184,3,MATERIAL SCIENCE & ENGG,8
185,3,SEPARATION PROCESSES I,8
186,3,PRINCIPLES OF ECONOMICS,5
187,3,INTRODUCTORY PHILOSOPHY,8
188,3,CHEMICAL ENGG LAB I,10
189,3,CHEMICAL ENGG LAB II,10
190,3,PROCESS DES PRINCIPLE II,8
191,3,COMPUTATIONAL FLUID DYNAMICS,9
192,3,ELECTROCHEM FUNDA & APPL,8
193,3,DESIGN PROJECT,10
194,3,WIND ENERGY,8
195,3,CORROSION ENGINEERING,8
196,3,CREATIVE WRITING,8
197,3,PRACTICE SCHOOL I,10
198,4,BIOLOGY LABORATORY,9
199,4,GENERAL BIOLOGY,5
200,4,ENGINEERING GRAPHICS,7
201,4,THERMODYNAMICS,6
202,4,TECHNICAL REPORT WRITING,7
203,4,COMPUTER PROGRAMMING,4
204,4,MATHEMATICS I,6
205,4,ENVIRONMENTAL STUDIES,7
206,4,CHEMICAL PROCESS CALCULA,5
207,4,FLUID MECHANICS,6
208,4,CHEM ENGG THERMODYNAMICS,6
209,4,ENGINEERING CHEMISTRY,6
210,4,PHONETICS & SPOKEN ENGL,6
211,4,MATHEMATICS III,7
212,4,KINETICS & REACTOR DESIG,7
213,4,SEPARATION PROCESSES II,7
214,4,PROCESS DES PRINCIPLES I,6
215,4,PROCESS DYN & CONTROL,7
216,4,ENVIR POLLUTION CONTROL,8
217,4,BUSS ANAL & VALUATION,7
218,4,SECUR ANAL & PORTFOL MGT,8
219,4,FINANCIAL MANAGEMENT,7
220,4,PRACTICE SCHOOL II,10
221,4,CHEMISTRY LABORATORY,9
222,4,GENERAL CHEMISTRY,6
223,4,ELECTRICAL SCIENCES,6
224,4,MATHEMATICS II,6
225,4,PROBABILITY & STATISTICS,6
226,4,WORKSHOP PRACTICE,7
227,4,PHYSICS LABORATORY,10
228,4,MECH OSCILLATIONS & WAVE,5
229,4,HEAT TRANSFER,7
230,4,NUM METHOD FOR CHEM ENGG,8
231,4,MATERIAL SCIENCE & ENGG,7
232,4,SEPARATION PROCESSES I,6
233,4,PRINCIPLES OF ECONOMICS,7
234,4,FUNDA OF FIN AND ACCOUNT,8
235,4,DERIVATIVES &  RISK MGMT,10
236,4,INTRODUCTION TO CRITICAL PEDAG,7
237,4,INTRODUCTION TO MEMS,9
238,4,CHEMICAL ENGG LAB I,10
239,4,CHEMICAL ENGG LAB II,9
240,4,PROCESS DES PRINCIPLE II,8
241,4,COLLOIDS AND INTERFACE ENGINEE,7
242,4,CINEMATIC ADAPTATION,7
243,4,CHEMICAL PROCESS TECH,5
244,4,CORROSION ENGINEERING,8
245,4,APPLIED PHILOSOPHY,4
246,4,PRACTICE SCHOOL I,10
247,5,BIOLOGY LABORATORY,8
248,5,GENERAL BIOLOGY,5
249,5,ENGINEERING GRAPHICS,6
250,5,THERMODYNAMICS,6
251,5,TECHNICAL REPORT WRITING,6
252,5,COMPUTER PROGRAMMING,5
253,5,MATHEMATICS I,6
254,5,ENVIRONMENTAL STUDIES,7
255,5,HUM THEO OF SC & TECH,6
256,5,CHEMICAL PROCESS CALCULA,4
257,5,FLUID MECHANICS,5
258,5,CHEM ENGG THERMODYNAMICS,6
259,5,ENGINEERING CHEMISTRY,5
260,5,POP LITER & CULT S ASIA,6
261,5,MATHEMATICS III,5
262,5,STUDY PROJECT,9
263,5,KINETICS & REACTOR DESIG,8
264,5,SEPARATION PROCESSES II,7
265,5,PROCESS DES PRINCIPLES I,5
266,5,PROCESS DYN & CONTROL,5
267,5,BUSS ANAL & VALUATION,7
268,5,SECUR ANAL & PORTFOL MGT,6
269,5,PRACTICE SCHOOL II,10
270,5,CHEMISTRY LABORATORY,8
271,5,GENERAL CHEMISTRY,6
272,5,ELECTRICAL SCIENCES,5
273,5,MATHEMATICS II,5
274,5,PROBABILITY & STATISTICS,4
275,5,WORKSHOP PRACTICE,8
276,5,PHYSICS LABORATORY,7
277,5,MECH OSCILLATIONS & WAVE,5
278,5,HEAT TRANSFER,7
